userName,score,at,content
Pengguna Google,2,2024-09-30 00:57:08,"Padahal aplikasi bagus , saya coba daftar paylater nya udah seminggu lebih masih mengecek data saja , gak ada kejelasan hasilnya di tolak atau di acc , tolong untuk traveloka kasih kejelasan , di tolak atau acc jangan di gantung , keterangan 20 menit hasilnya akan tau ini udah seminggu lebih"
Pengguna Google,1,2024-09-29 15:09:36,Plis Traveloka ternyata sangat merugikan kita pengguna paylater pembayaran full tiba2 hanya 140rb limit pembayaran dari sekian juta gak masuk akal banget haya berdasarkan lain padahal rutin setiap bayar 😑rugi dan sangat Buruk apknya hanya karena di butuhkan pakai tiket
Pengguna Google,1,2024-10-03 19:40:52,"Easy refund, tapi aktual refund ribet dan lama, dari September sampe skrang belum ada proses... D hubungi jawab cs muter muter, via chat app berat dan bot... Ga jelas app nya, masih banyak app lain yang lebih baik dan lebih sederhana dari ini... Bye"
Pengguna Google,1,2024-10-05 06:37:26,"Pertengahan September booking sebuah di area Banyuwangi, ternyata sudah tidak kerja sama dengan Traveloka, mana saat itu sudah malam, lelah, capek... akhirnya keluar duit lagi cari hotel baru pake aplikasi lain yg lebih uptodate dan sampai saat ini uang refund tidak dikembalikan oleh Traveloka padalah saya sudah mengisi data pengajuan refund..."
Pengguna Google,1,2024-09-28 08:18:38,"Hati hati beli di traveloka, sudah ga seperti dulu, dulu harga incl pajak..sekarang... harga excl pajak....saya termasuk yang terjebak dan pas sudah terbayar, baru sadar....."
Pengguna Google,4,2024-09-28 14:28:49,"Sebelumnya versi lama apk lancar-lancar sj saat digunakan, tetapi ketika apk di update ke versi 10.10 yg terjadi saat memasukan tgl keberangkatan selalu muncul penerbangan tidak tersedia."
Pengguna Google,1,2024-10-09 23:30:43,Sekarang harga jauh lebih mahal dari yg lain belum lagi hidden costnya.. Reschedule/refund terlalu banyak syarat makin ribet. Bilangnya promo tapi harga dinaikin dulu ya sama aja..
Pengguna Google,1,2024-09-27 15:03:09,"Jelek sekali , ketika dibooking selesai pembayaran ternyata uang dikembalikan dengan alasan tidak jelas . Kalau memang tidak ada stock hotel seharusnya tidak muncul di pencarian payah! Masalah di refun butuh 3-5 hari , apa apaan refund butuh waktu segitu lama , orang sudah niat mau liburan akhirnya gajadi karna uang yang akan dipakai buat pembayaran hotel tertahan tidak bisa langsung di refund padahal yang mengcancel pihak traveloka . Jangan download app ini lebih baik pakai app yang lain"
Pengguna Google,1,2024-10-01 11:11:47,"Aplikasi bagus sih, Cuman menyoroti diskon² yang tidak berguna, atau emang gw yg gak paham ya. Ada diskon tapi minimal transaksi diluar nalar, kan ahhhhsudah lah 😅. Mending gak usah buat diskon nyet."
Pengguna Google,1,2024-09-29 08:19:58,"lebih dari 10 thnan sy memakai aplikasi ini untuk keperluan sy, selama ini pelayanan bagus dan excellent, tp 1 kejadian yg merugikan sy ttg informasi dari CS traveloka yg SALAH memberikan informasi yg katanya ada FREE bagasi 20kg , saya percaya akan hal itu dan akhirnya sesampai di bandara cek in sy diharuskan membayar kelebihan bagasi 3x lipat setara dg 2 tiket dewasa pd saat HIGH SEASON, ( seblm nya sy sdh membeli bagasi 20 kg untuk antisipasi kelebihan bagasi) jd sebnrnya TDK ADA FREE BAGASI!"
Pengguna Google,1,2024-09-23 18:04:08,"Parah sih. Ngasih diskon harga kamar, dan harga tertera sudah termasuk pajak dan biaya lain lain.. pas mau checkout eh ada pajak lagi dan jumlahnya gak maen maen.. alhasil, diskon cuman iming iming .. yg jujurlah.. klo emank gak ada diskon ya udah. Jgn dipaksakan diskon tp ujung ujungnya ada biaya tambahan yg gak jelas .."
Pengguna Google,2,2024-08-13 18:21:58,"Sebenarnya traveloka sangat membantu untuk pesan tiket pesawat dan hotel dengan mudah, cukup modal HP saja. Tapi cukup menyebalkan rasanya, ketika sedang memproses order tiket pesawat, lalu isi biodata penumpang dll, dan pas banget waktu tiket mau di-checkout mendadak ada pemberitahuan kalau tiket harganya sudah naik. Beda harganya bisa sampai ratusan ribu juga. Ini agak payah sih, bisa lah diperbaiki sistemnya."
Pengguna Google,3,2024-08-31 08:17:50,"Halo saya mau tanya, knpa ketika mau check out tiket pesawat dlm kasus ini maskapai citilink harga tiba2 berubah ketika pembayaran akan di selesaikan. ketika check out ada notifikasi harga telah berubah , knpa ya ini mohon penjelasanya"
Pengguna Google,1,2024-10-01 09:51:38,"Promo 10.10 harga tiket domestik sama saja wkwkwkwk!!! Promi tipu tipu, paylater limit rendah bahkan buat beli tiket psawat saja tidak cukup, skor turun terus padahal selalu bayar tepat waktu"
Pengguna Google,1,2024-08-29 13:14:29,"Asal nya kasih bintang 5 skrg ganti ke bintang 1 apa apaan skrg ada harga sebelum pajak segala , mending ke tiket . com ga ada yg begituan harga nya lebih murah dengan kamar yang sama saya biasa menginap di salah satu hotel sekarang harga nya 886.000 sedangkan dengan tipe kamar yang sama di tiket. Com hanya 671.150 hampir berbeda 200 rb dengan traveloka ,"
Pengguna Google,3,2024-08-11 18:02:31,"Aplikasi ini memang bagus, cuma mohon d setiap reservasi itu ada refund atau reschedule semua.. ini pengalaman pertama kalinya, salah pilih tanggal tidak bisa d refund dan reschedule. Dikarenakan kesibukan yg menjadi salah klik. Memang kesalahan pribadi, tp alangkah baiknya sebagai masukan aplikasi ini, agar memberikan fasilitas refund dan re schedule ke semua reservasi tanpa terkecuali."
Pengguna Google,4,2024-10-01 08:46:06,"saya pengguna lama sejak 11 tahun lalu, sejauh ini aplikasi ini sangat mmbantu, tapi setelah saya update ke versi terbaru tgl 23 september 2024 kmren, malah aplikasi ini tidak bisa menampilkan jadwal penerbangan, selalu muncul tidak ada penerbangan silahkan ganti tanggal dan rute penerbangan. sudah dicoba ganti tanggal dan rute tetap saja sama tidak ada penerbangan. sy pakai apl lain, malah baik2 saja, ada penerbangan di tanggal yg saya inginkan.. gimana ni?"
Pengguna Google,1,2024-09-24 13:10:06,"Beli tiket pakai PayLetter beberapa bulan sebelum berangkat berharap dapat harga murah diangka 700rb dengan cicilan 6x, cicilan bulan pertama 130rban terbayar aman (saat itu belum jadwal keberangkatan), tiba2 dapat kabar penerbangan dibatalin dan traveloka hanya menghapus sisa cicilan aja 570rban dari limit Payletter, sementara uang yang sudah dibayarkan gak pernah diungkit sampai sekarang, untung cuma rugi dikit, coba kalau harga tiketnya lebih mahal dan tenornya lebih cepat, kan amsyongggg."
Pengguna Google,1,2024-09-22 04:58:33,"Saya kecewa dengan apk traveloka, pengajuan refund saya selalu ada keterangan sistem eror. Tapi selalu ada email masuk untuk mengurus refund, sedangkan dari awal refund selalu eror. Sekarang sudah hampir 2 bulan saya selalu mendapatkan email untuk pengurusan refund, tapi setiap saya buka website menggunakan email tersebut, selalu gagal dengan keterangan sistem eror. Masa sudah 2 bulan selalu eror. *saya memang tidak menggunakan email ini untuk login di traveloka."
Pengguna Google,1,2024-09-14 07:12:35,"Aplikasi tidak jelas, booking hotel sama sarapan nya pas sudah di payment tidak dengan sarapan, mana harga yg tertera sudah di naikkan, akhirnya refund saja. Ga recomended utk pesan apa"" disini. Sudah cukup yg terakhir kemarin uninstal saja....GA JELASS"
Pengguna Google,3,2024-09-30 03:15:22,"sangat terbantu dgn ada nya traveloka, apa lg dengan paylatter nya. tp sayang yg buat heran kenapa itu limmit jd kosong lah turun level lah pada hal pembayaran selalu sebelum waktu yg di tetap kan. g pernah telat sekalipun. klw sudah di perbaiki nanti baru saya kasih bintang 5."
Pengguna Google,3,2024-09-25 21:21:10,"Bagus, cuma pengaturaj bahasa ke indonesia yg terkadang sulit, harus download lagi, dan harus berulang2. Jadi uninstal dan instal kembali agar settingan default ke bhs indo."
Pengguna Google,1,2024-09-27 07:00:38,Traveloka jadi aplikasi yang tidak jelas yang seenaknya non aktifkan paylater nasabah loyal yang selalu bayar tepat waktu.. lama lama semua nasabah loyal nya pada kabur semua kalau pelayanan traveloka tidak jelas kayak gini
Pengguna Google,1,2024-09-27 10:22:31,"Ngumpulin level sampe tinggi, bayar tidak sekalipun telat, selalu pesen kereta atau pesawat melalui traveloka, eh cuma gara2 pesen tiket lumayan banyak pakai paylater level diturunkan paling RENDAH, selanjutnya mending pake yg sebelah besok2, BYE"
Pengguna Google,3,2024-08-22 18:48:05,"Aplikasi bagus cuman sekarang kenapa etiketnya lamaaa baru keluar, gak seperti si biru sebelah, hbs di issued etiket bisa langsung keluar. Mohon agar bisa di perbaiki lagi."
Pengguna Google,1,2024-09-10 12:23:08,"Aplikasi dengan kenyataan dilapangan beda... Sudah pesan tiket via aplikasi tiba"" datang ke bandara sudah direscedulu oleh maskapai, tp di aplikasi jadwalnya masih tetap tidak ada perubahan... Mau minta keterangan keterlambatan untuk klaim asuransi tidak dikasih alasan jadwal pesawat yg baru sesuai jam... Lah... Percuma beli asuransi..."
Pengguna Google,3,2024-08-13 21:55:22,"Mau verifikasi Foto KTP susah nya dapet fokus untuk fitur paylater, Gagal terus. Mohon di perbaiki fitur nya. Saya pakai samsung s23 plus. Sampai skrg fokus manual gak bisa ke deteksi. Apa perlu nunggu siang? Aplikasi lain mudah banget."
Pengguna Google,5,2024-08-18 20:19:58,"aplikasi paling terpercaya untuk urusan traveling ya traveloka. menunya mudah di pahami, transaksi mudah, pembayaran aman, banyak pilihan, banyak promo dan cashback yang bikin doi gajadi ngambek."
Pengguna Google,5,2024-07-23 23:10:05,"Aplikasi terbaik untuk jalan² yg gw pake selama ini!!! Jujur gw ga eskpek kalo refund dananya LANCAR DAN CEPATTT!! Padahal dari pihak hotel awalnya tidak bisa refund, jadi gw telpon cs hotel dan diajukan ke traveloka. Gw kira ga bakal diproses karena nominalnya cepek doang, ternyata nggak coyy.. pelayanannya cepat ga sampe 5 hari gilaaa.... Asal kalian mau ikutin sesuai prosedur. UI juga bagus banget ga kyk sebelah. Pokoknya aplikasi traveling paling TOP DI INDONESIA!!!"
Pengguna Google,1,2024-08-10 17:24:00,"Bener2 kecewa, buruk banget. Saya gak akan lagi pake Traveloka! Silahkan blokir paylater saya, saya juga tidak butuh lagi! Masih banyak aplikasi lain yg lebih baik. Semoga Traveloka lebih loyal dengan nasabah yg tidak salah. Jelas2 saya tidak ada tunggakan apapun malah akun paylater di blokir permanen. Akun saya terdapat transaksi mencurigakan?? Mana buktinya?? Ada gak? Baguslah saya tidak perlu pake paylater lagi, bunga nya juga tinggi. Gak masuk akal."
Pengguna Google,1,2024-08-30 15:55:49,Terserah anda lah mau turunkan level jg GPP...yg penting saya amanah tetap bayar tepat waktu tanpa keterlambatan Untuk PT caturnusa sekedar saran saja jgn memandang konsumen dengan sebelah mata....belum tentu yg anda beri limit tinggi bisa amanah... yg terpenting adalah track recordnya. Gak pernah terlambat bayar yg seharusnya adalah prioritas.... diberikan limit dan dipakai semua level malah turun. Yg penting kan pembayaran lancar bos. Tim pemeriksa bagaimana kerjanya kan ada historis pembayara
Pengguna Google,1,2024-07-31 13:48:49,Pengajuan refund udah di setujui. Tapi saldo gak nambah² di paylater. Tolong lah jangan mempersulit. Mau pesan tiket pesawat lagi jadi gak bisa karena saldo belom di kembalikan ke paylater. Bikin resah! Padahal saya pengguna pertama paylater di Traveloka. Bener² mengecewakan!
Pengguna Google,4,2024-09-11 10:40:55,"Pelayanan cepat namun sayang hasil ponit yang kita kumpulkan kenapa harus hangus apabila tida dipergunakan sebagai usula sebaiknya pont jangan dihanguskan karena untuk mengumpulkan point-point tersebut sangatlah sulit dan membutuhkan kesabaran sebaiknya kalo mau diterapkan ponit yang mau hangus digantikan saja ke bentuk hadiah-hadiah (misal gantungan kunci, dan assesoris lainnya yang bermanfaat) terimakasih sebelumnya"
Pengguna Google,1,2024-08-05 09:26:22,"Pake travelokapay belum jatuh tempo udah ditagih aja, jatuh temponya juga masih 5 hari lagi udah ditelponin aja, udah gitu cara nagihnya tidak sopan seperti nagih ke orang yang sudah lewat jatuh tempo, padahal selama saya pakai travelokapay tidak pernah sekalipun saya bayar lewat dari tanggal jatuh tempo"
Pengguna Google,1,2024-08-03 14:43:21,"aplikasi buruk.beli tiket via aplikasi ini lambat sekali.saldo sudah terpotong, bukti transaksi resi sudah muncul, tapi tiket baru ada beberapa jam kemudian.saya sudah berjam jam di tempat tujuan kok tiket baru keluar.mau refund juga tidak bisa karena tidak ada support CS di aplikasi.kapok dah pake aplikasi ini!"
Pengguna Google,1,2024-07-30 22:28:30,"Gimana si nih aplikasi masa muncul iklan terus diapk nya padahal udah dihapus, tolong dibantu dong min gmna sii malah jadi muncul dilayar biasa!!!!! Jelekkk!!!"
Pengguna Google,1,2024-07-24 12:43:52,"Pembelian tiket by Aplikasi Traveloka terjadi 2 kali proses sedangkan step2 pembelian hanya 1 kali sehingga terjadi kerugian dr sisi customer yg pst akan kurang sadar atas hal tersebut. Menurut sy proses penyelesaian dr sisi traveloka yg melempar ke maskapai kurang tepat krn maskapai hanya memproses sesuai pesanan aplikasi. Semoga bs dilakukan perbaikan system sehingga tdk terjadi trouble yg sama ke org lain spt yg sy alami. sblmnya Traveloka mnjadi pilihan utama, saat ini dijadikan opsi brktnya"
Pengguna Google,1,2024-08-27 12:06:45,"Jangan download aplikasi ini, saya baru kena hack karena sistem keamanannya tidak bagus. Paylater saya kena hack org dan di pakai org lain. Tapi tidak masuk otp dan notifikasi di email kita. Saya sangat dirugikan harus membayar transaksi yang tidak saya lakukan. Saya sudah lapor ke pihak berwajib dan pihak travelokanya. Tapi tidak ada win win solusi untuk saya. Hatihati menggunakan aplikasi ini. Semoga tidak ada lagi org kena hack lagi. Terimakasih"
Pengguna Google,1,2024-08-30 15:45:10,"Aplikasi curang, sudah berapa kali saya mau book kamar di hari yg sama tp sering setting minggu depannya tp harinya sama,anehh,sangat sengaja sekali,jika mengajukan ganti jadwal disuruh bayar lagi,LICIK!"
Pengguna Google,1,2024-08-26 10:43:38,"Tiba tiba payletter di non aktifkan , padahal tidak pernah telat bayar , dan berpengaruh ke payletter yang lain jadi tidak bisa di gunakann , dan sangatt di sayangkannn pada saat jatuh tempo mau pembayaran aplikasi eror"
Pengguna Google,1,2024-08-24 06:18:02,"Akun Paylater saya sudah aktif, tetapi hanya bisa digunakan 1x saja, ketika saya sudah membayar lunas tagihan tersebut, tidak bisa digunakan, tulisannya alasan keamanan, saya sudah lama menggunakan traveloka, knp sekarang menurun seperti ini?"
Pengguna Google,1,2024-08-03 17:54:20,Saya kasih bintang 1. Saya pesan di m town. Dikira punya pribadi atau perorangan. Ternyata kerjasama dengan travelio Ampun susah banget contact nya travelio. Nunggu lama pula. Seumur umur saya belum pernah pesan di Traveloka. Hampir 100% di Traveloka. Tapi gara gara ini. Jadi jelek Traveloka. Mau kerjasama dengan travelio. Yang pelayanya jelek. Putuskan saja kerjasama dengan travelio. Pelayanan engga bagus. Bikin engga bagus juga nama Traveloka.
Pengguna Google,3,2024-08-03 13:48:33,"Selama ini membantu sih aplikasi traveloka ini, tapi saat pembaharuan ini, saya agak kecewa kenapa beli tiket peswat di wajibkan tambahan bayar asuransi lagi, kan jadi harganya naik dan tidak sesuai pada saat pengecekan awal."
Pengguna Google,1,2024-07-25 13:57:13,Saya pengguna traveloka semenjak aplikasi ini diluncurkan dan bertahun tahun akun saya aman saja tidak pernah ada kendala. Begitu saya aktifkan paylaternya tiba tiba akun saya gk bisa diakses dan paylater digunakan orang lain. Setelah saya adukan ke CS dengan mudahnya aplikasi membebankan semua tagihan yg tidak pernah saya lakukan tanpa ada solusi lebih lanjut.
Pengguna Google,1,2024-07-26 10:53:51,Pengalaman Buruk. Ingin menukar nama respon di lempar sana sini.padahal aplikasi menyuruh memasukan nama keluarga di akhir. Tp itu untuk passport Malaysia shj. saya menempah passport Indonesia Dan sekarang menjadi kesalahan besar. Seharusnya ada information simple untuk masukan nama nama depan Dan belakang shj seperti yg ada di passport. Apakah bentuk kesengajaan pihak traveloka. Saya menempah bukan 1 tiket shj bos... IKLAN SAJA MUNCUL DIMANA MANA. tp service macam bllsssttt
Pengguna Google,5,2024-09-21 16:59:09,"Sy baru 6 bln pengguna Traveloka Alhamdulillah sangat membantu sekali buat perjalanan liburan bersama keluarga, banyak rewardnya bonusnya ditambah hrg murah dan pembayaran yang fleksibel sangat di rekomendasikan buat seluruh konsumen yang suka melakukan traveling. Semoga Traveloka tambah sukses mendunia go public. Terima kasih traveloka"
Pengguna Google,1,2024-09-30 16:31:28,"Sangat mengecewakan, Saya memesan tiket pesawat tujuan Jogjakarta-Lampung transit di jakarta. Semula tiket pesawat Jogjakarta-Jakarta pukul 10.10-11.15. tiba tiba pukul 07.05 baru ada notifikasi pesawat Jogjakarta-Jakarta mundur pukul 12.10-13.20 dan padahal di jam tersebut sudah terjadwal keberangkatan Jakarta-Lampung pukul 13.20 sehingga tiket saya transit dari Jakarta-Lampung otomatis menjadi hangus mohon Traveloka bisa untuk bertanggung jawab, saya sudah membuat klaim asuransi perjalanan."
Pengguna Google,3,2024-10-05 21:16:18,cepat proses beli tiketnya. tp akhir2 ini harga tiket ke luar negeri yg ditampilkan suka pake harga hoax. Tampil 2 juta pas mau bayar 3 juta.
Pengguna Google,5,2024-10-10 09:15:28,"Aplikasi yang sangat membantu, puas banget dengan respon cepatnya. Semoga tambah sukses dan bagus terus untuk traveloka."
Pengguna Google,1,2024-09-29 13:07:42,"Klo udh ngajuin dana refund, ya balikin dong, itu kan hak saya, yg katanya dana refund nya muncul tgl 19 gaada ditungguin sampai sekarang, mana tanggungjawab nya, tutup aja apk nya klo ngerugiin kaya gini, ditunggu segera"
Pengguna Google,1,2024-10-10 22:40:45,Aplikasi makin susah dan sulit utk di pahami di bandingkan aplikasi Traveloka sebelum masa covid lbh mudah utk di pahami
Pengguna Google,1,2024-10-08 01:32:49,"bintang 1 dulu karna limit TPaylater saya tidak bisa digunakan padahal limit tersedia MENGECEWAKAN, nanti kalau sudah bisa baru ditambah bintangnya."
Pengguna Google,1,2024-10-07 20:13:12,"Saya pengguna lama dan pemesanan saya lumayan sering dan banyak krn saya pesan untuk keperluan kantor, belakangan ini sy banyak kecewa dan dirugikan sama traveloka, refund gagal tdk sesuai perjanjian ketika adminya traveloka tlp saya, tiket sering lama rilis sehingga sy pernah sampai hrs 2x pesan krn keteranganya waktu pembayaran habis pdhl sy sdh bayar (verifikasi pembayaran lama), online chat selalu ada kendala..sgt kecewa dan dirugikan."
Pengguna Google,1,2024-10-05 15:45:24,"Malas sekali sama Traveloka Saya ditawari pake paylater tapi setelah pengajuan kok susah sekali pas pengambilan foto KTP ,padahal kamera Hp saya sudah bagus dan KTP saya juga masih jelas tapi pas di foto malah kelihatan buram"
Pengguna Google,5,2024-10-04 23:46:56,Saya pengguna setia traveloka.. Tolong dibuat seperti dlu saja harga hotel y.. Skrgkok asa kaya aplikasi sebelah yg ket hrga hotel blm trmasuk pajak.. Enk sprti dulu harga sudah final jadi jelas !!
Pengguna Google,1,2024-08-07 14:24:01,Traveloka harus lbh hati2 dgn produk2 yg di tawarkan di aplikasinya. Saya adalah korban dr foto2 yg ditampilkan oleh pihak aplikator. Hanya berdasar foto2 yg ada langsung dgn gegabah pesen penginapan utk 3 hari. Bgt sampai di tmpt langsung ilfill melihat tampilan hotel yg horor... ditambah staff hotel jauh dr kesan ramah. Akhirnya hanya 1/2 jam berada di hotel langsung cek out cari penginapan lain. Dijanjikan oleh cs traveloka utk refund dan kudu kita yg harus menanyakan tindak lanjut.....
Pengguna Google,5,2024-09-28 12:48:20,Sdah dowliad tapi tidak bisa connect. Padahal dulu selalu pake aplikasi ini kalau mau naik pesawat mohon bantuannya
Pengguna Google,1,2024-10-06 21:12:02,"Saya sangat kecewa dgn Traveloka ,kok saya mengajukan reschedule ditolak padahal tgl keberangkatan ada 2 Minggu lagi N untuk refund pun tidak bisa Bagi teman 2 yg tau solusinya mohon dibantu"
Pengguna Google,2,2024-09-30 15:11:39,"traveloka lg knpa sih mkin di upgrade kok mlah mkin error truss,, di buka mnu apa aja gk bisa, gmna mau byar tagihan ny,, nnti klo gk di byar mlah denda,,"
Pengguna Google,1,2024-07-11 19:48:29,"mau pesen hotel susah kalo bisanya cuma bayar di hotel, harus masukin info kartu kredit, udah gitu pas data nya udah diisi, pas mau pesen malah gabisa terus, gimana sih, lebih baik ada dua metode pembayaran biar ga susah kayak gini, jadinya pesen di aplikasi lain yang bisa bayar sekarang deh"
Pengguna Google,1,2024-07-30 11:46:04,"Akhirnya saya memutuskan berhenti menggunkan traveloka, sudah cukup lama berlangganan traveloka, katanya semakin tinggi lv pegguna,semakin banyak kemudahan yang didapat, saya kecewa dengan rencana peminjaman mobil tanpa supir, dimana syarat yang saya terima berbeda dengan syarat yang pihak pemilik ajukan, dan setelah sepakat untuk sama merefaund ternyata lama sekali prosesnya, dr jam 23 malam sampai besok harinya jam 11 pagi, konfirmasi untuk refaund (bukan uang kembali ya)belum selesai .."
Pengguna Google,2,2024-08-29 11:33:00,Saya selama ini sering menggunakan traveloka. Tapi sering beberapa kali terjadi hal hal yang mengecewakan. Dan penyelessiannya selalu tidak tuntas. Hari ini tgl 29 Saya ada perjalanan ke Padang. Membeli tiket via traveloka yang langsung tujuan ke Padang satu kali pesanan. Bandar Lampung Lion dan Jakarta Padang Super Air Jet. Saya berharap di saat pesanan bagasi bisa langsung ambil di Padang. Karena ini masih 1 Group dengan lion. Tapi tdk bisa. Mengecewakan sekali.
Pengguna Google,5,2024-09-20 11:25:54,"terima kasih traveloka, sangat memudahkan dan membantu saya yg sering pergi ketempat tempat baru, jadi merasa nyaman dan aman karena Ada kamu traveloka ❤️❤️❤️❤️❤️"
Pengguna Google,4,2024-09-18 19:21:09,Kok penerbitan e tiketnya lama sekali. Sdh di pesan dan sdh payment tapi e tiketnya blm terbit juga. Sudah setengah jam menunggu. Biasanya cepat dikirim di email
Pengguna Google,5,2024-09-21 14:12:40,"Kak tolong limit dan level saya dinaikkan, masa sampai bertahun-tahun limit dan level selalu di level 4 trus ga ada kenaikan trus menerus, tolong dinaikkan level dan limit saya kak ke level 5/6/7...mkaciii..."
Pengguna Google,1,2024-09-19 21:05:08,Harga tiket di traveloka dg aplikasi maskapainya lgsg bs 2x lipat. Lg eror apa gmn? Penerbangan jg cm 1. Liat aplikasi pesaingnya msh banyak penerbangannya
Pengguna Google,1,2024-09-14 09:55:09,"Pengembalian refund tiket nya sangat lama, dan proses refund begitu rumit sampai detik ini uang saya belum kembali, semoga jadi catatan penting buat pemilik traveloka dan mempertimbangkan hak milik orang, terimakasih"
Pengguna Google,1,2024-09-15 11:28:34,"Belum sempat pesan tiket,???APLIKASI nya sudah serumit ini....hasil tak sesuai pencarian...huff.."
Pengguna Google,5,2024-09-15 02:02:50,"Untuk paylater virtual numbernya smpai skrg belum aktif aktif. Tolong donk agar di aktifkan , padahal saya tdk pernah telat pembayaran di traveloka. Terimakasih"
Pengguna Google,1,2024-09-17 14:16:37,"Traveloka aplikasinya makin aneh2, minta warga negara dan tanggal lahir, rentan untuk memancing kesalahan padahal hanya beli tiket,,,kalau salah warga negara atau tanggal lahir mesti bayar biaya lagi kah ,,,?makin lama makin gak nyaman beli tiket di Traveloka"
Pengguna Google,5,2024-10-03 00:50:18,Aplikasi nya bagus banget banyak banget diskon nya saya sdh berapa kali beli tiket di sini harga murah dan banyak diskon nya
Pengguna Google,5,2024-09-25 03:32:51,Semua yang bagus cerita costumer gilirqn pay later pembayaran angsuran jaun jauh bulan Uda lunas lho bukan jaun hari tapi di anggap aktivisa mencurigakan .heran sy lain kali minta jaminan ajq traveloka .ini no sy cek pembayaran sy kita beli tiket karena ada bisnis bosssss dan di diskusikan tapi gak ada jawaban danpenyelsaianya .kedepannya lihat seperti aplikasi kredivo ata sejenis itu jau lebih baik dari traveloka kecewa bangat .udalaahhh
Pengguna Google,5,2024-09-14 17:50:35,"kemanapun, kendala apapun traveloka solusi terbaikk.. memudahkan dalam segala perjalanan.. seneng bangett sama layanan traveloka ❤❤"
Pengguna Google,1,2024-09-22 18:38:46,Apaan anjir aplikasi gaje tayii mau daftar malah ga bisa udah pake wifi sama paket data pun ga bisa jaringan total bagus ini aplikasi nya bermasalah di gueh hahaha
